model_name,sku,wishlistCount,qty,wishlist/stock
LA E16566,lenskart-air-la-e16566-c2-eyeglasses,0,1219,0.0
JJ E14411,john-jacobs-jj-e14411-c1-eyeglasses,0,4513,0.0
VC E13788,vincent-chase-vc-e13788-c1-eyeglasses,5489,5088,1.078812893081761
LA E13519,lenskart-air-la-e13519-c3-eyeglasses,5332,5757,0.9261768282091367
LA E14017,lenskart-air-la-e14017-c2-eyeglasses,1690,6902,0.24485656331498115
VC E13451-W,vincent-chase-vc-e13451-w-c1-eyeglasses,0,1404,0.0
LA E16728,lenskart-air-la-e16728-c1-eyeglasses,0,1254,0.0
JJ E10640,john-jacobs-jj-e10640-c2-eyeglasses,2904,3546,0.8189509306260575
VC E11891,vincent-chase-vc-e11891-c3-eyeglasses,2827,4648,0.6082185886402753
VC S14458,vincent-chase-vc-s14458-c1-sunglasses,523,1892,0.27642706131078226
LA E14736M,lenskart-air-la-e14736-m-c2-eyeglasses,0,291,0.0
LA E12852,vincent-chase-vc-e12852-c2-eyeglasses,5775,5393,1.070832560726868
VC E16657,vincent-chase-vc-e16657-c1-eyeglasses,0,774,0.0
LA E16574,lenskart-air-la-e16574-c1-eyeglasses,0,778,0.0
JJ E11540,john-jacobs-jj-e11540-c7-eyeglasses,0,5975,0.0
VC E14977,vincent-chase-vc-e14977-c3-eyeglasses,0,836,0.0
VC E13393,vincent-chase-vc-e13393-c1-eyeglasses,1820,3574,0.5092333519865697
LA E14958,lenskart-air-la-e14958-c2-eyeglasses,0,6182,0.0
LA E12489,lenskart-air-la-e12489-c6-eyeglasses,2014,4369,0.46097505149919893
VC E16658,vincent-chase-vc-e16658-c2-eyeglasses,0,524,0.0
LA E16208,lenskart-air-la-e16208-c2-eyeglasses,0,1561,0.0
JJ E16146,john-jacobs-jj-e16146-c3-eyeglasses,0,1244,0.0
VC E12422,vincent-chase-full-rim-aviator-vc-e12422-c3-eyeglasses,27771,4343,6.39442781487451
VC E15069,vincent-chase-vc-e15069-c1-eyeglasses,0,117,0.0
LA E15308,lenskart-air-la-e15308-c3-eyeglasses,0,3189,0.0
LA E14363,lenskart-air-la-e14363-c1-eyeglasses,759,1441,0.5267175572519084
VC E16692,vincent-chase-vc-e16692-c2-eyeglasses,0,899,0.0
LA E16573,lenskart-air-la-e16573-c3-eyeglasses,0,1150,0.0
JJ E14008L,john-jacobs-jj-e14008l-c7-eyeglasses,0,1542,0.0
VC E13788,vincent-chase-vc-e13788-c2-eyeglasses,7488,8495,0.88145968216598
VC E13783,vincent-chase-vc-e13783-c1-eyeglasses,10128,7884,1.2846270928462709
LA E13519,lenskart-air-la-e13519-c4-eyeglasses,4903,4733,1.0359180223959434
LA E14101,lenskart-air-la-e14101-c1-c1-eyeglasses,2283,2468,0.9250405186385737
VC E16690,vincent-chase-vc-e16690-c1-eyeglasses,0,1622,0.0
LA E16567,lenskart-air-la-e16567-c2-eyeglasses,0,1437,0.0
